id,date,sender,dest,amount,note
1,2024-06-05,I/T-CITI/HOVDE MASTER LLC,Alta Batalla Escrow,752282.0,
2,2024-10-15,I/T-CITI/HOVDE MASTER LLC,Alta Batalla Escrow,7350877.7,
3,2025-10-17,I/T-CITI/HOVDE MASTER LLC,Alta Batalla Escrow,2325022.0,
