id,wbs,week_start,planned_amount,is_painted,fill_rgb,src_col
122,0,2027-03-01,,1,FFCCCCCC,ES
123,0,2027-03-08,,1,FFCCCCCC,ET
124,0,2027-03-15,,1,FFCCCCCC,EU
125,0,2027-03-22,,1,FFCCCCCC,EV
126,0,2027-03-29,,1,FFCCCCCC,EW
127,0,2027-04-05,,1,FFCCCCCC,EX
128,0,2027-04-12,,1,FFCCCCCC,EY
129,0,2027-04-19,,1,FFCCCCCC,EZ
130,0,2027-04-26,,1,FFCCCCCC,FA
131,0,2027-05-03,,1,FFCCCCCC,FB
132,0,2027-05-10,,1,FFCCCCCC,FC
133,0,2027-05-17,,1,FFCCCCCC,FD
134,0,2027-05-24,,1,FFCCCCCC,FE
135,0,2027-05-31,,1,FFCCCCCC,FF
136,0,2027-06-07,,1,FFCCCCCC,FG
137,0,2027-06-14,,1,FFCCCCCC,FH
138,0,2027-06-21,,1,FFCCCCCC,FI
139,0,2027-06-28,,1,FFCCCCCC,FJ
140,0,2027-07-05,,1,FFCCCCCC,FK
141,0,2027-07-12,,1,FFCCCCCC,FL
142,0,2027-07-19,,1,FFCCCCCC,FM
143,0,2027-07-26,,1,FFCCCCCC,FN
144,0,2027-08-02,,1,FFCCCCCC,FO
145,0,2027-08-09,,1,FFCCCCCC,FP
146,0,2027-08-16,,1,FFCCCCCC,FQ
147,0,2027-08-23,,1,FFCCCCCC,FR
148,0,2027-08-30,,1,FFCCCCCC,FS
149,0,2027-09-06,,1,FFCCCCCC,FT
150,0,2027-09-13,,1,FFCCCCCC,FU
151,0,2027-09-20,,1,FFCCCCCC,FV
152,0,2027-09-27,,1,FFCCCCCC,FW
153,0,2027-10-04,,1,FFCCCCCC,FX
154,0,2027-10-11,,1,FFCCCCCC,FY
155,0,2027-10-18,,1,FFCCCCCC,FZ
156,0,2027-10-25,,1,FFCCCCCC,GA
157,0,2027-11-01,,1,FFCCCCCC,GB
158,0,2027-11-08,,1,FFCCCCCC,GC
159,0,2027-11-15,,1,FFCCCCCC,GD
160,0,2027-11-22,,1,FFCCCCCC,GE
161,0,2027-11-29,,1,FFCCCCCC,GF
162,0,2027-12-06,,1,FFCCCCCC,GG
163,0,2027-12-13,,1,FFCCCCCC,GH
164,0,2027-12-20,,1,FFCCCCCC,GI
165,0,2027-12-27,,1,FFCCCCCC,GJ
166,0,2028-01-03,,1,FFCCCCCC,GK
167,0,2028-01-10,,1,FFCCCCCC,GL
168,0,2028-01-17,,1,FFCCCCCC,GM
169,0,2028-01-24,,1,FFCCCCCC,GN
170,0.0001,2024-10-13,308014.48,0,,V
171,0.0001,2025-01-26,79957.38,0,,AK
172,0.0002,2024-10-20,7500000.0,0,,W
173,0.0002,2025-10-26,1875000.0,0,,BU
174,0.0002,2026-09-28,1875000.0,0,,DU
175,0.1,2025-10-26,450000.0,0,,BU
176,0.1,2026-09-28,337500.0,0,,DU
177,0.1.1,2026-09-28,20000.0,0,,DU
178,0.1.2,2026-02-23,37500.0,0,,CL
179,0.1.2,2026-09-28,37500.0,0,,DU
180,0.1.3,2026-02-23,6300.0,0,,CL
181,0.1.3,2026-09-28,6300.0,0,,DU
182,0.2,2025-03-23,82507.5,0,,AS
183,0.2,2026-03-23,,1,FFFFFF00,CQ
184,0.2,2026-05-25,4492.5,0,,DA
185,0.3,2024-12-22,50795.05,0,,AF
186,0.3,2026-03-23,0.0,1,FFFFFF00,CQ
